step,epoch,loss,learning_rate,grad_norm
10,0.01266624445851805,1.7952447891235352,1.25e-05,14.981781005859375
20,0.0253324889170361,0.4399653434753418,2.6388888888888892e-05,1.9477112293243408
30,0.03799873337555415,0.2739631414413452,4.027777777777778e-05,0.5663987994194031
40,0.0506649778340722,0.24573800563812256,5.4166666666666664e-05,0.6577679514884949
50,0.06333122229259025,0.20360302925109863,6.805555555555556e-05,1.1308711767196655
60,0.0759974667511083,0.18118174076080323,8.194444444444445e-05,1.8753747940063477
70,0.08866371120962635,0.1655416965484619,9.583333333333334e-05,2.8097751140594482
80,0.1013299556681444,0.1820973515510559,9.999771054310599e-05,1.1846424341201782
90,0.11399620012666245,0.18595994710922242,9.99864973814151e-05,0.8140547871589661
100,0.1266624445851805,0.1810880184173584,9.996594209547781e-05,1.0450068712234497
110,0.13932868904369855,0.16107441186904908,9.993604852693224e-05,0.9097968339920044
120,0.1519949335022166,0.18502087593078614,9.989682226267579e-05,0.8127288222312927
130,0.16466117796073465,0.17109215259552002,9.984827063382092e-05,1.5733698606491089
140,0.1773274224192527,0.15242449045181275,9.979040271432507e-05,1.5611340999603271
150,0.18999366687777075,0.1525784969329834,9.972322931929476e-05,1.800835371017456
160,0.2026599113362888,0.1359266996383667,9.964676300296435e-05,1.6119922399520874
170,0.21532615579480685,0.14983713626861572,9.95610180563497e-05,1.615972638130188
180,0.2279924002533249,0.17923469543457032,9.946601050457732e-05,1.1830627918243408
190,0.24065864471184295,0.17312905788421631,9.936175810388941e-05,0.9553888440132141
200,0.253324889170361,0.15255318880081176,9.924828033832528e-05,1.8260732889175415
210,0.26599113362887905,0.1227684497833252,9.912559841607994e-05,1.6123297214508057
220,0.2786573780873971,0.18328452110290527,9.899373526554047e-05,0.7598349452018738
230,0.29132362254591515,0.1545901894569397,9.885271553100086e-05,0.8096340298652649
240,0.3039898670044332,0.14369508028030395,9.87025655680561e-05,1.2266396284103394
250,0.31665611146295125,0.15887635946273804,9.854331343867658e-05,1.0813599824905396
260,0.3293223559214693,0.1539368987083435,9.83749889059635e-05,0.7093197107315063
270,0.34198860037998735,0.16571195125579835,9.81976234285863e-05,1.7170649766921997
280,0.3546548448385054,0.14541869163513182,9.801125015490328e-05,2.117530345916748
290,0.36732108929702345,0.15751124620437623,9.781590391676652e-05,1.273384690284729
300,0.3799873337555415,0.14100815057754518,9.761162122301179e-05,0.5063034892082214
310,0.39265357821405955,0.14480353593826295,9.739844025263561e-05,1.0064961910247803
320,0.4053198226725776,0.14520528316497802,9.71764008476596e-05,0.712158739566803
330,0.41798606713109565,0.14039018154144287,9.69455445056845e-05,1.1147959232330322
340,0.4306523115896137,0.1306999683380127,9.670591437213444e-05,0.9341166019439697
350,0.44331855604813175,0.10722781419754028,9.645755523219334e-05,0.7849319577217102
360,0.4559848005066498,0.12839144468307495,9.6200513502435e-05,1.2159100770950317
370,0.46865104496516785,0.17142972946166993,9.593483722214806e-05,1.1778156757354736
380,0.4813172894236859,0.14129703044891356,9.56605760443578e-05,0.7339527606964111
390,0.49398353388220395,0.13239972591400145,9.537778122654646e-05,1.1268746852874756
400,0.506649778340722,0.15605875253677368,9.50865056210734e-05,0.6454286575317383
410,0.51931602279924,0.1538420081138611,9.478680366529746e-05,0.9046807289123535
420,0.5319822672577581,0.13253833055496217,9.447873137140304e-05,0.5924327969551086
430,0.5446485117162762,0.12728871107101442,9.416234631593175e-05,1.1026796102523804
440,0.5573147561747942,0.14201828241348266,9.38377076290218e-05,0.5411762595176697
450,0.5699810006333123,0.11945875883102416,9.350487598335691e-05,0.6500841379165649
460,0.5826472450918303,0.13073054552078248,9.316391358282719e-05,0.43491753935813904
470,0.5953134895503484,0.11467500925064086,9.281488415090345e-05,1.2477844953536987
480,0.6079797340088664,0.15542905330657958,9.24578529187279e-05,0.6728836297988892
490,0.6206459784673845,0.12853139638900757,9.209288661292285e-05,0.4020751118659973
500,0.6333122229259025,0.119166898727417,9.172005344311995e-05,1.290120244026184
510,0.6459784673844206,0.11708366870880127,9.133942308921233e-05,1.044560194015503
520,0.6586447118429386,0.1433084487915039,9.09510666883319e-05,0.8574991226196289
530,0.6713109563014567,0.15154335498809815,9.055505682155437e-05,0.7259165644645691
540,0.6839772007599747,0.14050400257110596,9.015146750033423e-05,0.5136830806732178
550,0.6966434452184928,0.1269553542137146,8.974037415267266e-05,0.7034603953361511
560,0.7093096896770108,0.09967847466468811,8.932185360902057e-05,0.5218114256858826
570,0.7219759341355289,0.14200612306594848,8.889598408791936e-05,2.164760112762451
580,0.7346421785940469,0.163202965259552,8.846284518138265e-05,0.4626736044883728
590,0.747308423052565,0.12769373655319213,8.8022517840021e-05,1.167087197303772
600,0.759974667511083,0.1539936900138855,8.75750843579127e-05,0.9500710368156433
610,0.772640911969601,0.1383817434310913,8.712062835722379e-05,0.9263321757316589
620,0.7853071564281191,0.11698043346405029,8.665923477257951e-05,0.30217695236206055
630,0.7979734008866372,0.1372362494468689,8.61909898351907e-05,0.7619706392288208
640,0.8106396453451552,0.1174725890159607,8.571598105673773e-05,1.4168503284454346
650,0.8233058898036733,0.12303299903869629,8.523429721301528e-05,0.6701884269714355
660,0.8359721342621913,0.12634719610214235,8.474602832734064e-05,0.4967985153198242
670,0.8486383787207094,0.11461831331253051,8.42512656537291e-05,0.6564078330993652
680,0.8613046231792274,0.12430187463760375,8.375010165983916e-05,0.4515569806098938
690,0.8739708676377455,0.13678507804870604,8.324263000969097e-05,0.7739078402519226
700,0.8866371120962635,0.11913450956344604,8.272894554616124e-05,0.4360085725784302
710,0.8993033565547816,0.11823711395263672,8.22091442732577e-05,1.1781730651855469
720,0.9119696010132996,0.11899759769439697,8.168332333817668e-05,0.36128851771354675
730,0.9246358454718177,0.10222052335739136,8.115158101314697e-05,1.0829907655715942
740,0.9373020899303357,0.11442458629608154,8.061401667706341e-05,0.45655444264411926
750,0.9499683343888538,0.11484888792037964,8.007073079691376e-05,0.33678579330444336
760,0.9626345788473718,0.12376151084899903,7.952182490900195e-05,0.5487431883811951
770,0.9753008233058899,0.0843272089958191,7.89674015999719e-05,0.5139052271842957
780,0.9879670677644079,0.07559298872947692,7.840756448763453e-05,0.4345981478691101
790,1.0,0.09848913550376892,7.784241820160261e-05,0.1547839641571045
800,1.0126662444585182,0.08324085474014283,7.727206836373595e-05,0.46769043803215027
810,1.025332488917036,0.08035520315170289,7.669662156840165e-05,0.24242283403873444
820,1.037998733375554,0.07197890281677247,7.611618536255216e-05,0.8220704197883606
830,1.0506649778340722,0.09411442875862122,7.553086822562568e-05,1.1914387941360474
840,1.0633312222925904,0.07385098934173584,7.4940779549272e-05,0.22392919659614563
850,1.0759974667511083,0.08405132293701172,7.434602961690804e-05,0.9009274840354919
860,1.0886637112096262,0.07108668684959411,7.374672958310664e-05,1.6617118120193481
870,1.1013299556681444,0.09856119155883789,7.314299145282255e-05,0.9619953036308289
880,1.1139962001266626,0.05660566687583923,7.253492806045944e-05,0.6257882714271545
890,1.1266624445851805,0.09843733310699462,7.192265304878205e-05,0.8360781669616699
900,1.1393286890436984,0.0820879340171814,7.130628084767709e-05,0.5458426475524902
910,1.1519949335022166,0.08039636611938476,7.068592665276707e-05,1.3394149541854858
920,1.1646611779607348,0.0791543185710907,7.006170640388118e-05,0.903799831867218
930,1.1773274224192527,0.09268986582756042,6.94337367633868e-05,0.3417212665081024
940,1.1899936668777706,0.07461504340171814,6.880213509438618e-05,0.9387640953063965
950,1.2026599113362888,0.07788750529289246,6.816701943878215e-05,0.920383095741272
960,1.215326155794807,0.1083796739578247,6.752850849521687e-05,0.3408919870853424
970,1.227992400253325,0.08309891819953918,6.688672159688792e-05,0.7717691659927368
980,1.2406586447118428,0.1056365728378296,6.62417786892457e-05,1.3271409273147583
990,1.253324889170361,0.08377417922019958,6.559380030757658e-05,0.5207034349441528
1000,1.2659911336288792,0.07467454671859741,6.494290755447558e-05,0.8260129690170288
1010,1.278657378087397,0.07878305315971375,6.428922207721327e-05,0.6259586811065674
1020,1.291323622545915,0.06583883166313172,6.363286604500068e-05,1.2347242832183838
1030,1.3039898670044332,0.07837608456611633,6.29739621261567e-05,1.122982382774353
1040,1.3166561114629514,0.08949694633483887,6.231263346518235e-05,0.6947128176689148
