step,epoch,loss,learning_rate,grad_norm
10,0.01266624445851805,3.591994857788086,1.25e-05,7.3454909324646
20,0.0253324889170361,1.8825223922729493,2.6388888888888892e-05,3.577300548553467
30,0.03799873337555415,0.35297222137451173,4.027777777777778e-05,0.9900406002998352
40,0.0506649778340722,0.1821364641189575,5.4166666666666664e-05,0.6657927632331848
50,0.06333122229259025,0.15667740106582642,6.805555555555556e-05,0.5794652700424194
60,0.0759974667511083,0.1416850805282593,8.194444444444445e-05,0.33729323744773865
70,0.08866371120962635,0.13641026020050048,9.583333333333334e-05,0.9440099596977234
80,0.1013299556681444,0.12952992916107178,9.999771054310599e-05,0.38950321078300476
90,0.11399620012666245,0.1265619397163391,9.99864973814151e-05,0.4564061462879181
100,0.1266624445851805,0.11355910301208497,9.996594209547781e-05,0.39597150683403015
110,0.13932868904369855,0.11095585823059081,9.993604852693224e-05,0.37060409784317017
120,0.1519949335022166,0.10204945802688599,9.989682226267579e-05,0.3579561710357666
130,0.16466117796073465,0.11354072093963623,9.984827063382092e-05,0.4954294264316559
140,0.1773274224192527,0.10951563119888305,9.979040271432507e-05,0.45475253462791443
150,0.18999366687777075,0.10935980081558228,9.972322931929476e-05,1.0343456268310547
160,0.2026599113362888,0.0980786919593811,9.964676300296435e-05,0.6861703991889954
170,0.21532615579480685,0.10854817628860473,9.95610180563497e-05,0.42380955815315247
180,0.2279924002533249,0.10553841590881348,9.946601050457732e-05,0.3532860577106476
190,0.24065864471184295,0.10031918287277222,9.936175810388941e-05,0.26519015431404114
200,0.253324889170361,0.10699853897094727,9.924828033832528e-05,0.41539087891578674
210,0.26599113362887905,0.09673023819923401,9.912559841607994e-05,0.45342105627059937
220,0.2786573780873971,0.1145240068435669,9.899373526554047e-05,0.334134578704834
230,0.29132362254591515,0.10237684249877929,9.885271553100086e-05,0.2700149714946747
240,0.3039898670044332,0.10855509042739868,9.87025655680561e-05,0.39441725611686707
250,0.31665611146295125,0.09809449315071106,9.854331343867658e-05,0.4827713668346405
260,0.3293223559214693,0.10359517335891724,9.83749889059635e-05,0.40047141909599304
270,0.34198860037998735,0.10157458782196045,9.81976234285863e-05,0.33682283759117126
